crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	56.690342	5802	0.000000
281474976710655.000000	71.554619	5803	0.000000
281474976710655.000000	46.345177	5804	0.000000
281474976710655.000000	43.486378	5805	0.000000
281474976710655.000000	27.852678	5806	0.000000
281474976710655.000000	26.742294	5807	0.000000
281474976710655.000000	22.950380	5808	0.000000
281474976710655.000000	22.259747	5809	0.000000
281474976710655.000000	15.705234	5810	0.000000
281474976710655.000000	15.095091	5811	0.000000
281474976710655.000000	11.708525	5812	0.000000
281474976710655.000000	10.854743	5813	0.000000
281474976710655.000000	8.593798	5814	0.000000
281474976710655.000000	7.198567	5815	0.000000
281474976710655.000000	5.848629	5816	0.000000
281474976710655.000000	5.110908	5817	0.000000
281474976710655.000000	3.988064	5818	0.000000
281474976710655.000000	3.596190	5819	0.000000
281474976710655.000000	2.493534	5820	0.000000
281474976710655.000000	2.212710	5821	0.000000
281474976710655.000000	1.691937	5822	0.000000
281474976710655.000000	1.256809	5823	0.000000
